month,station,pH,ammonia,nitrate,inorganic_phosphate,BOD,dissolved_oxygen,wqi,fecal_coliforms
1,4,8.4,0.057,0.181,0.08,6,8.3,75,410
1,5,8.6,0.057,0.179,0.096,6,8.9,75,410
1,8,8.3,0.057,0.192,0.096,6,8.2,75,410
1,15,8.6,0.057,0.153,0.118,6,8.7,75,410
1,16,8.6,0.057,0.164,0.097,6,9.4,75,410
1,18,8.4,0.057,0.167,0.102,6,8.7,75,410
4,4,7.8,0.057,2.054,0.18,6,7.1,75,410
4,8,7.9,0.057,1.385,0.12,7,8.1,75,410
7,4,9.3,0.057,0.37,0.088,7,11.7,75,410
7,15,8.3,0.057,0.73,0.055,8,8.6,75,410
11,1,7.9,0.057,1.066,0.157,2,6.8,75,410
11,4,7.8,0.057,0.784,0.144,2,6.7,75,410
11,15,7.8,0.057,0.539,0.127,2,6.5,75,410
11,17,7.8,0.057,0.474,0.123,2,7,75,410
12,1,8.4,0.057,0.466,0.068,2,8.5,75,410
12,4,8.4,0.057,0.457,0.084,3,7.2,75,410
12,15,8.5,0.057,0.293,0.069,3,7.8,75,410
12,17,8.8,0.057,0.366,0.042,2,7.7,75,410
2,2,8,0.057,0.357,0.059,2,7.9,75,410
2,16,8.2,0.008,0.285,0.04,2,8.3,75,639
2,18,8.1,0.024,0.283,0.056,2,8.3,75,401
3,1,8,0.045,0.308,0.021,1,7.6,75,678
3,2,8.3,0.264,0.176,0.004,1,8.4,75,333
3,4,8.1,0.019,0.355,0.006,1,8.3,75,457
3,5,8,0.133,0.103,0.004,1,7.6,75,357
3,8,7.8,0.22,0.204,0.001,1,8,75,672
3,15,8.1,0.169,0.352,0.03,1,7.6,75,485
4,1,6.7,0.152,0.065,0.125,1,8.6,75,144
4,4,8.7,0.129,0.039,0.104,1,8.6,75,125
4,5,8.9,0.083,0.087,0.102,1,7.5,75,125
4,15,8.3,0.088,0.128,0.103,2,8.6,75,201
4,16,8.3,0.081,0.102,0.087,1,8.1,75,165
4,17,8.6,0.058,0.088,0.089,1,8.3,75,294
5,1,8.3,0.236,0.001,0.147,1,6.4,75,144
5,4,8.3,0.05,0.002,0.103,1,6.8,75,117
5,5,8.2,0.349,0.059,0.164,2,7.1,75,102
5,15,8.2,0.074,0.019,0.069,3,6.9,75,185
5,16,8.3,0.054,0.036,0.067,2,7.7,75,107
6,15,8.9,0.067,0.77,0.12,3,7.6,75,208
6,17,9.3,0.047,0.372,0.073,3,8.9,75,35
6,18,9.4,0.031,0.798,0.12,4,9.1,75,26
7,1,8.8,0.025,0.068,0.134,2,7.3,75,185
7,5,8.9,0.067,0.11,0.048,2,6.3,75,793
7,16,8.7,0.039,0.001,0.074,2,7.5,75,136
8,2,8.9,0.181,0.271,0.001,2,6.8,75,665
8,15,8.9,0.07,0.301,0.008,2,6.5,75,418
9,2,9,0.048,0.022,0.011,2,9,75,754
9,15,8.7,0.001,0.069,0.072,3,8.7,75,418
9,17,9.4,0.005,0.028,0.061,3,12.1,75,82
9,18,9.4,0.013,0.031,0.007,2,9.4,75,194
10,2,9.2,0.045,0.035,0.016,3,10,75,213
10,5,7.8,0.236,0.463,0.133,4,6.3,75,478
10,8,8.7,0.008,0.034,0.066,1,8.5,75,309
10,16,7.7,0.22,0.055,0.121,1,5.8,75,211
10,17,8.8,0.093,0.091,0.074,1,7.6,75,101
11,2,8.8,0.32,0.255,0.051,1,7.2,75,153
11,4,8.8,0.052,0.545,0.251,1,7.4,75,26
12,4,8.4,0.063,0.001,0.165,1,7.7,75,21
12,15,9,0.082,0.028,0.111,3,9.6,75,141
12,16,8.5,0.047,0.014,0.075,4,8.5,75,268
1,2,8,0.001,0.343,0.084,1,7.7,75,116
1,16,8.4,0.001,0.001,0.088,1,7.7,75,102
2,2,7.9,0.572,0.44,0.173,2,7.6,75,110
2,4,7.9,0.091,1.412,0.161,1,7.3,75,63
2,5,8.4,0.074,2.631,0.163,0.5,9,75,214
2,8,7.9,0.065,1.88,0.115,0.5,7.6,75,193
2,16,7.9,0.001,2.136,0.165,1,7.8,75,90
2,18,7.9,0.033,0.54,0.16,1,7.8,75,73
3,4,8,0.033,0.372,0.088,2,8.4,75,166
3,5,7.9,0.046,0.373,0.098,2,9,75,214
3,8,8.2,0.024,0.24,0.076,1,9.1,75,344
3,15,8.1,0.023,0.205,0.079,2,9.1,75,210
3,16,8.5,0.034,0.285,0.066,1,9.6,75,159
3,17,8.3,0.023,0.221,0.072,2,8.5,75,188
4,4,7.8,0.03,0.144,0.143,3,6.9,75,240
4,5,7.9,0.048,0.154,0.174,3,9.3,75,214
5,2,6.3,0.008,0.001,0.062,2,7.7,75,1060
5,4,8.7,0.026,0.001,0.067,3,8.4,75,314
5,15,8.3,0.022,0.013,0.02,3,7.9,75,426
5,16,8,0.043,0.001,0.078,2,7,75,306
5,18,8.3,0.019,0.001,0.071,3,8.4,75,426
6,15,8.3,0.025,0.001,0.151,3,8.7,75,259
6,16,8.4,0.003,0.001,0.143,2,9,75,217
6,17,8.5,0.001,0.001,0.132,2,10.2,75,303
7,1,8.2,0.058,0.031,0.11,2,8.7,75,163
7,8,8.1,0.047,0.015,0.05,2,8.1,75,482
8,1,8.6,0.099,0.018,0.076,3,9.4,75,163
8,2,8.6,0.089,0.184,0.105,3,9.6,75,271
8,8,9,0.026,0.001,0.103,4,11.6,75,256
8,15,8.7,0.023,0.026,0.107,2,9.6,75,354
8,16,8.5,0.031,0.001,0.089,2,9.4,75,298
8,18,9.6,0.021,0.02,0.035,4,9.9,75,172
9,5,7.9,0.039,0.001,0.241,3,7.7,75,1913
10,4,8,0.022,0.212,0.178,2,7.6,75,166
10,5,8.4,0.032,0.231,0.218,5,9.1,75,1655
10,15,7.7,0.043,0.217,0.18,4,5.6,75,96
10,17,8.2,0.031,0.001,0.131,7,7.8,75,240
11,2,7.9,0.059,0.137,0.031,1,8.4,75,368
11,4,7.7,0.045,0.453,0.167,2,7.6,75,166
11,5,7.6,0.045,0.451,0.194,3,9.1,75,1263
11,8,8.1,0.038,0.216,0.1,2,10.8,75,159
11,15,7.7,0.036,0.334,0.111,2,5.6,75,111
11,17,7.9,0.028,0.264,0.107,1,7.8,75,240
12,1,7.8,0.022,0.263,0.147,2,6.6,75,196
12,8,8.1,0.001,0.205,0.119,2,7.8,75,140
12,15,7.7,0.007,0.046,0.096,0.5,6.2,75,242
12,16,8.2,0.004,0.153,0.119,1,7.5,75,240
12,17,7.9,0.023,0.062,0.104,2,7.4,75,166
7,2,8.7,0.051,0.65,0.084,7,9.8,89,1138
7,8,8.6,0.051,1.35,0.105,7,11.1,89,1138
7,16,8.7,0.051,0.67,0.001,8,11,89,1138
11,2,8,0.051,0.409,0.091,2,7.2,89,1138
11,8,7.9,0.051,0.534,0.079,2,6.8,89,1138
11,16,7.8,0.051,0.513,0.09,3,7.2,89,1138
11,18,7.7,0.051,0.47,0.107,1,7.1,89,1138
12,2,9.6,0.051,0.035,0.047,3,8.1,89,1138
12,8,8.5,0.051,0.041,0.175,2,7,89,1138
12,16,8.4,0.051,0.544,0.264,2,6.3,89,1138
12,18,8.5,0.051,0.31,0.055,3,8,89,1138
2,1,8.4,0.051,0.331,0.057,1,8.9,89,1138
2,17,8.3,0.014,0.45,0.052,1,8,89,1486
3,16,8.2,0.027,0.559,0.003,1,8.1,89,271
3,18,7.8,0.01,0.004,0.007,1,8.5,89,301
4,18,8.7,0.068,0.096,0.031,1,8.5,89,110
5,17,8.1,0.079,0.051,0.066,2,7.5,89,86
5,18,9.4,0.056,0.004,0.004,4,10,89,51
6,16,9,0.042,0.165,0.087,2,7.7,89,83
7,17,8.8,0.028,0.001,0.134,2,7.8,89,41
7,18,9.6,0.001,0.038,0.001,3,9.4,89,38
8,4,8.6,0.183,0.142,0.014,2,7.3,89,121
8,16,8.8,0.033,0.001,0.009,7,7.4,89,211
9,4,9.6,0.073,0.058,0.039,3,13.5,89,49
9,8,9,0.001,0.109,0.045,2,8.8,89,272
9,16,9,0.011,0.037,0.036,4,10.2,89,211
10,4,8.9,0.034,0.046,0.07,2,8.9,89,49
11,1,8.9,0.065,0.131,0.031,2,7.8,89,197
12,1,7.9,0.105,0.121,0.149,1,6.5,89,37
12,2,7.9,0.11,0.141,0.122,2,7.6,89,51
12,17,8.8,0.045,0.089,0.013,2,7.7,89,110
12,18,8.4,0.055,0.248,0.113,1,7.6,89,57
1,1,8.4,0.001,0.223,0.087,1,7.9,89,60
1,4,8.3,0.001,0.149,0.072,1,8.1,89,32
1,8,8,0.001,0.335,0.101,1,7.6,89,90
1,15,8.6,0.001,0.379,0.108,1,8.2,89,96
1,17,8.7,0.001,0.19,0.057,3,9.6,89,76
1,18,7.8,0.001,0.393,0.066,1,7.7,89,73
2,15,8.4,0.034,0.509,0.131,2,8.8,89,85
2,17,8.1,0.04,2.592,0.145,1,7.7,89,86
3,2,8.4,0.1,0.197,0.049,2,9.4,89,290
9,18,8.4,0.005,0.003,0.041,2,9.7,89,172
10,2,8.3,0.037,0.06,0.008,2,8.4,89,256
12,2,7.9,0.016,0.032,0.022,2,8.6,89,190
12,18,8.1,0.008,0.006,0.026,2,8.8,89,101
4,1,7.7,0.036,1.896,0.2,8,8.1,60,540
4,2,7.8,0.036,1.103,0.14,9,8,60,540
4,5,7.8,0.036,2.012,0.28,10,7.4,60,540
4,15,8,0.036,0.522,0.16,9,8.2,60,540
4,16,8,0.036,0.892,0.16,10,7.1,60,540
4,17,8,0.036,1.244,0.16,11,7.8,60,540
4,18,7.9,0.036,0.469,0.15,10,8.4,60,540
8,1,9.3,0.036,0.469,0.15,10,12.2,60,540
8,5,9.7,0.036,0.469,0.15,10,18.3,60,540
8,8,8.5,0.036,0.469,0.15,10,8.3,60,540
8,15,8.5,0.036,0.469,0.15,2,11.6,60,540
8,16,8.8,0.036,0.469,0.15,2,9.9,60,540
8,17,8.5,0.036,0.469,0.063,2,9.7,60,540
8,18,8.3,0.036,0.469,0.063,2,9.1,60,540
9,8,9.1,0.036,0.469,0.063,2,9,60,540
9,16,9.3,0.036,0.469,0.063,2,9.2,60,540
1,5,8.7,0.036,0.469,0.063,2,9.1,60,540
2,4,7.8,0.036,0.335,0.063,1,7.8,60,522
2,5,8,0.018,0.715,0.135,2,7.5,60,360
2,8,8,0.006,0.375,0.098,1,7.5,60,435
2,15,8,0.027,0.538,0.067,1,7.8,60,820
3,17,8.1,0.072,0.192,0.016,1,7.9,60,918
4,2,8.5,0.085,0.046,0.071,1,8.3,60,627
4,8,8.5,0.094,0.018,0.084,1,8.3,60,488
5,2,8.7,0.081,0.009,0.037,3,8.4,60,945
5,8,8.3,0.055,0.001,0.077,1,7.9,60,707
6,1,9.4,0.063,0.065,0.108,8,14.4,60,85
6,4,9.6,0.051,0.051,0.149,3,9.5,60,117
6,5,9,0.336,0.069,0.19,3,9.5,60,363
6,8,9.4,0.054,0.684,0.095,3,8.9,60,809
7,2,9.5,0.015,0.574,0.179,1,9.7,60,586
7,4,9.8,0.034,0.031,0.147,6,15.9,60,104
7,8,9,0.031,0.001,0.143,1,8.1,60,517
7,15,8.1,0.073,0.001,0.176,2,4,60,786
8,1,8.1,0.313,0.382,0.235,3,5.5,60,126
8,5,8.5,0.12,0.313,0.306,2,6.6,60,945
8,8,9.1,0.069,0.028,0.001,2,7.6,60,586
9,1,7.8,0.076,0.728,0.134,3,7.3,60,335
9,5,8,0.029,1.084,0.145,2,7.8,60,305
10,1,7.9,0.055,0.796,0.185,2,7.3,60,231
10,15,7.6,0.181,0.035,0.089,1,5.9,60,140
11,5,7.6,0.045,0.038,0.258,2,7.5,60,558
11,8,7.6,0.032,0.308,0.258,2,8.1,60,272
11,15,7.6,0.156,0.184,0.208,3,6.8,60,309
11,16,8.4,0.002,0.14,0.168,2,9.8,60,268
11,17,8.4,0.045,0.127,0.244,2,7.9,60,196
11,18,8.4,0.049,0.314,0.222,1,6.6,60,110
12,5,8.4,0.13,0.039,0.181,2,6.8,60,426
12,8,9.3,0.053,0.238,0.116,1,7.2,60,125
1,5,8.1,0.001,0.344,0.181,1,8.5,60,272
2,1,8,0.16,0.405,0.238,1,7.6,60,163
3,1,7.9,0.009,0.267,0.069,2,8.9,60,512
4,1,7.7,0.111,0.413,0.371,3,6.3,60,973
4,2,7.8,0.038,0.021,0.156,3,7.2,60,624
4,8,7.8,0.048,0.034,0.253,2,7.1,60,552
4,15,7.8,0.062,0.09,0.265,3,6.9,60,272
4,16,7.8,0.047,0.094,0.236,2,6.9,60,196
4,17,7.9,0.051,0.004,0.169,2,7,60,272
4,18,7.8,0.073,0.016,0.29,3,7.4,60,151
5,1,8.3,0.143,0.001,0.289,2,7.3,60,586
5,5,7.6,0.404,0.162,0.427,6,5.5,60,586
5,8,8,0.041,0.001,0.096,3,7.5,60,482
5,17,8.2,0.016,0.001,0.098,4,7.6,60,586
6,1,8.6,0.23,0.224,0.31,4,8.7,60,268
6,2,8.2,0.02,0.001,0.165,2,7.1,60,485
6,4,8.3,0.027,0.022,0.252,2,8.1,60,185
6,5,8.1,0.028,0.238,0.359,3,9.7,60,268
6,8,8.4,0.001,0.001,0.092,2,8.6,60,482
6,18,9,0.016,0.042,0.156,2,8.6,60,352
7,2,7.9,0.07,0.52,0.17,2,6.9,60,271
7,4,8.6,0.053,0.032,0.31,4,9,60,210
7,5,7.7,0.844,0.045,0.37,6,8.6,60,758
7,15,7.9,0.056,0.019,0.1,3,7.4,60,488
7,16,8.3,0.103,0.02,0.12,7,6,60,467
7,17,8.1,0.048,0.012,0.15,4,8.1,60,343
7,18,8.5,0.059,0.022,0.15,4,9.3,60,485
8,4,9.1,0.047,0.016,0.098,4,13.1,60,160
8,5,8.8,0.025,0.001,0.087,3,11,60,406
8,17,9.2,0.03,0.001,0.105,4,14.1,60,140
9,1,8.2,0.001,0.206,0.154,3,7.3,60,291
9,2,8.7,0.003,0.001,0.099,3,9.5,60,592
9,4,9.3,0.013,0.001,0.128,7,17.2,60,272
9,8,8.7,0.001,0.005,0.168,5,10.3,60,357
9,15,8.8,0.001,0.001,0.235,9,10.4,60,234
9,16,8.9,0.004,0.001,0.352,70,10.9,60,1460
9,17,8.3,0.001,0.001,0.252,4,8.7,60,272
10,1,8.2,0.054,0.046,0.177,3,6.9,60,222
10,8,9.2,0.061,0.001,0.077,5,10.8,60,140
10,16,9.3,0.038,0.023,0.18,4,7.8,60,678
11,1,7.8,0.131,0.361,0.208,3,6.9,60,196
11,16,8.2,0.028,0.182,0.077,2,7.8,60,678
12,4,7.7,0.091,0.617,0.252,1,6.5,60,114
12,5,7.6,0.017,0.132,0.116,3,5.9,60,478
3,18,8.3,0.092,0.05,0.181,2,8.8,40,973
6,2,9.3,0.092,0.05,0.181,2,8.3,40,973
