month,station,pH,nitrate,inorganic_phosphate,BOD,dissolved_oxygen,fecal_coliforms,wqi,ammonia
3,16,8.5,0.285,0.066,1,9.6,159,75,0.034
3,17,8.3,0.221,0.072,2,8.5,188,75,0.023
4,4,7.8,0.144,0.143,3,6.9,240,75,0.03
4,5,7.9,0.154,0.174,3,9.3,214,75,0.048
5,2,6.3,0.001,0.062,2,7.7,1060,75,0.008
5,4,8.7,0.001,0.067,3,8.4,314,75,0.026
5,15,8.3,0.013,0.02,3,7.9,426,75,0.022
5,16,8,0.001,0.078,2,7,306,75,0.043
5,18,8.3,0.001,0.071,3,8.4,426,75,0.019
6,15,8.3,0.001,0.151,3,8.7,259,75,0.025
6,16,8.4,0.001,0.143,2,9,217,75,0.003
6,17,8.5,0.001,0.132,2,10.2,303,75,0.001
7,1,8.2,0.031,0.11,2,8.7,163,75,0.058
7,8,8.1,0.015,0.05,2,8.1,482,75,0.047
8,1,8.6,0.018,0.076,3,9.4,163,75,0.099
8,2,8.6,0.184,0.105,3,9.6,271,75,0.089
8,8,9,0.001,0.103,4,11.6,256,75,0.026
8,15,8.7,0.026,0.107,2,9.6,354,75,0.023
8,16,8.5,0.001,0.089,2,9.4,298,75,0.031
8,18,9.6,0.02,0.035,4,9.9,172,75,0.021
9,5,7.9,0.001,0.241,3,7.7,1913,75,0.039
10,4,8,0.212,0.178,2,7.6,166,75,0.022
10,5,8.4,0.231,0.218,5,9.1,1655,75,0.032
10,15,7.7,0.217,0.18,4,5.6,96,75,0.043
10,17,8.2,0.001,0.131,7,7.8,240,75,0.031
11,2,7.9,0.137,0.031,1,8.4,368,75,0.059
11,4,7.7,0.453,0.167,2,7.6,166,75,0.045
11,5,7.6,0.451,0.194,3,9.1,1263,75,0.045
11,8,8.1,0.216,0.1,2,10.8,159,75,0.038
11,15,7.7,0.334,0.111,2,5.6,111,75,0.036
11,17,7.9,0.264,0.107,1,7.8,240,75,0.028
12,1,7.8,0.263,0.147,2,6.6,196,75,0.022
12,8,8.1,0.205,0.119,2,7.8,140,75,0.001
12,15,7.7,0.046,0.096,0.5,6.2,242,75,0.007
12,16,8.2,0.153,0.119,1,7.5,240,75,0.004
12,17,7.9,0.062,0.104,2,7.4,166,75,0.023
7,2,8.7,0.65,0.084,7,9.8,1138,89,0.051
7,8,8.6,1.35,0.105,7,11.1,1138,89,0.051
7,16,8.7,0.67,0.001,8,11,1138,89,0.051
11,2,8,0.409,0.091,2,7.2,1138,89,0.051
11,8,7.9,0.534,0.079,2,6.8,1138,89,0.051
11,16,7.8,0.513,0.09,3,7.2,1138,89,0.051
11,18,7.7,0.47,0.107,1,7.1,1138,89,0.051
12,2,9.6,0.035,0.047,3,8.1,1138,89,0.051
12,8,8.5,0.041,0.175,2,7,1138,89,0.051
12,16,8.4,0.544,0.264,2,6.3,1138,89,0.051
12,18,8.5,0.31,0.055,3,8,1138,89,0.051
2,1,8.4,0.331,0.057,1,8.9,1138,89,0.051
2,17,8.3,0.45,0.052,1,8,1486,89,0.014
3,16,8.2,0.559,0.003,1,8.1,271,89,0.027
3,18,7.8,0.004,0.007,1,8.5,301,89,0.01
4,18,8.7,0.096,0.031,1,8.5,110,89,0.068
5,17,8.1,0.051,0.066,2,7.5,86,89,0.079
5,18,9.4,0.004,0.004,4,10,51,89,0.056
6,16,9,0.165,0.087,2,7.7,83,89,0.042
7,17,8.8,0.001,0.134,2,7.8,41,89,0.028
7,18,9.6,0.038,0.001,3,9.4,38,89,0.001
8,4,8.6,0.142,0.014,2,7.3,121,89,0.183
8,16,8.8,0.001,0.009,7,7.4,211,89,0.033
9,4,9.6,0.058,0.039,3,13.5,49,89,0.073
9,8,9,0.109,0.045,2,8.8,272,89,0.001
9,16,9,0.037,0.036,4,10.2,211,89,0.011
10,4,8.9,0.046,0.07,2,8.9,49,89,0.034
11,1,8.9,0.131,0.031,2,7.8,197,89,0.065
12,1,7.9,0.121,0.149,1,6.5,37,89,0.105
12,2,7.9,0.141,0.122,2,7.6,51,89,0.11
12,17,8.8,0.089,0.013,2,7.7,110,89,0.045
12,18,8.4,0.248,0.113,1,7.6,57,89,0.055
1,1,8.4,0.223,0.087,1,7.9,60,89,0.001
1,4,8.3,0.149,0.072,1,8.1,32,89,0.001
1,8,8,0.335,0.101,1,7.6,90,89,0.001
1,15,8.6,0.379,0.108,1,8.2,96,89,0.001
1,17,8.7,0.19,0.057,3,9.6,76,89,0.001
1,18,7.8,0.393,0.066,1,7.7,73,89,0.001
2,15,8.4,0.509,0.131,2,8.8,85,89,0.034
2,17,8.1,2.592,0.145,1,7.7,86,89,0.04
3,2,8.4,0.197,0.049,2,9.4,290,89,0.1
9,18,8.4,0.003,0.041,2,9.7,172,89,0.005
10,2,8.3,0.06,0.008,2,8.4,256,89,0.037
12,2,7.9,0.032,0.022,2,8.6,190,89,0.016
12,18,8.1,0.006,0.026,2,8.8,101,89,0.008
4,1,7.7,1.896,0.2,8,8.1,540,60,0.036
4,2,7.8,1.103,0.14,9,8,540,60,0.036
4,5,7.8,2.012,0.28,10,7.4,540,60,0.036
4,15,8,0.522,0.16,9,8.2,540,60,0.036
4,16,8,0.892,0.16,10,7.1,540,60,0.036
4,17,8,1.244,0.16,11,7.8,540,60,0.036
4,18,7.9,0.469,0.15,10,8.4,540,60,0.036
8,1,9.3,0.469,0.15,10,12.2,540,60,0.036
8,5,9.7,0.469,0.15,10,18.3,540,60,0.036
8,8,8.5,0.469,0.15,10,8.3,540,60,0.036
8,15,8.5,0.469,0.15,2,11.6,540,60,0.036
8,16,8.8,0.469,0.15,2,9.9,540,60,0.036
8,17,8.5,0.469,0.063,2,9.7,540,60,0.036
8,18,8.3,0.469,0.063,2,9.1,540,60,0.036
9,8,9.1,0.469,0.063,2,9,540,60,0.036
9,16,9.3,0.469,0.063,2,9.2,540,60,0.036
1,5,8.7,0.469,0.063,2,9.1,540,60,0.036
2,4,7.8,0.335,0.063,1,7.8,522,60,0.036
2,5,8,0.715,0.135,2,7.5,360,60,0.018
2,8,8,0.375,0.098,1,7.5,435,60,0.006
2,15,8,0.538,0.067,1,7.8,820,60,0.027
3,17,8.1,0.192,0.016,1,7.9,918,60,0.072
4,2,8.5,0.046,0.071,1,8.3,627,60,0.085
4,8,8.5,0.018,0.084,1,8.3,488,60,0.094
5,2,8.7,0.009,0.037,3,8.4,945,60,0.081
5,8,8.3,0.001,0.077,1,7.9,707,60,0.055
6,1,9.4,0.065,0.108,8,14.4,85,60,0.063
6,4,9.6,0.051,0.149,3,9.5,117,60,0.051
6,5,9,0.069,0.19,3,9.5,363,60,0.336
6,8,9.4,0.684,0.095,3,8.9,809,60,0.054
7,2,9.5,0.574,0.179,1,9.7,586,60,0.015
7,4,9.8,0.031,0.147,6,15.9,104,60,0.034
7,8,9,0.001,0.143,1,8.1,517,60,0.031
7,15,8.1,0.001,0.176,2,4,786,60,0.073
8,1,8.1,0.382,0.235,3,5.5,126,60,0.313
8,5,8.5,0.313,0.306,2,6.6,945,60,0.12
8,8,9.1,0.028,0.001,2,7.6,586,60,0.069
9,1,7.8,0.728,0.134,3,7.3,335,60,0.076
9,5,8,1.084,0.145,2,7.8,305,60,0.029
10,1,7.9,0.796,0.185,2,7.3,231,60,0.055
10,15,7.6,0.035,0.089,1,5.9,140,60,0.181
11,5,7.6,0.038,0.258,2,7.5,558,60,0.045
11,8,7.6,0.308,0.258,2,8.1,272,60,0.032
11,15,7.6,0.184,0.208,3,6.8,309,60,0.156
11,16,8.4,0.14,0.168,2,9.8,268,60,0.002
11,17,8.4,0.127,0.244,2,7.9,196,60,0.045
11,18,8.4,0.314,0.222,1,6.6,110,60,0.049
12,5,8.4,0.039,0.181,2,6.8,426,60,0.13
12,8,9.3,0.238,0.116,1,7.2,125,60,0.053
1,5,8.1,0.344,0.181,1,8.5,272,60,0.001
2,1,8,0.405,0.238,1,7.6,163,60,0.16
3,1,7.9,0.267,0.069,2,8.9,512,60,0.009
4,1,7.7,0.413,0.371,3,6.3,973,60,0.111
4,2,7.8,0.021,0.156,3,7.2,624,60,0.038
4,8,7.8,0.034,0.253,2,7.1,552,60,0.048
4,15,7.8,0.09,0.265,3,6.9,272,60,0.062
4,16,7.8,0.094,0.236,2,6.9,196,60,0.047
4,17,7.9,0.004,0.169,2,7,272,60,0.051
4,18,7.8,0.016,0.29,3,7.4,151,60,0.073
5,1,8.3,0.001,0.289,2,7.3,586,60,0.143
5,5,7.6,0.162,0.427,6,5.5,586,60,0.404
5,8,8,0.001,0.096,3,7.5,482,60,0.041
5,17,8.2,0.001,0.098,4,7.6,586,60,0.016
6,1,8.6,0.224,0.31,4,8.7,268,60,0.23
6,2,8.2,0.001,0.165,2,7.1,485,60,0.02
6,4,8.3,0.022,0.252,2,8.1,185,60,0.027
6,5,8.1,0.238,0.359,3,9.7,268,60,0.028
6,8,8.4,0.001,0.092,2,8.6,482,60,0.001
6,18,9,0.042,0.156,2,8.6,352,60,0.016
7,2,7.9,0.52,0.17,2,6.9,271,60,0.07
7,4,8.6,0.032,0.31,4,9,210,60,0.053
7,5,7.7,0.045,0.37,6,8.6,758,60,0.844
7,15,7.9,0.019,0.1,3,7.4,488,60,0.056
7,16,8.3,0.02,0.12,7,6,467,60,0.103
7,17,8.1,0.012,0.15,4,8.1,343,60,0.048
7,18,8.5,0.022,0.15,4,9.3,485,60,0.059
8,4,9.1,0.016,0.098,4,13.1,160,60,0.047
8,5,8.8,0.001,0.087,3,11,406,60,0.025
8,17,9.2,0.001,0.105,4,14.1,140,60,0.03
9,1,8.2,0.206,0.154,3,7.3,291,60,0.001
9,2,8.7,0.001,0.099,3,9.5,592,60,0.003
9,4,9.3,0.001,0.128,7,17.2,272,60,0.013
9,8,8.7,0.005,0.168,5,10.3,357,60,0.001
9,15,8.8,0.001,0.235,9,10.4,234,60,0.001
9,16,8.9,0.001,0.352,70,10.9,1460,60,0.004
9,17,8.3,0.001,0.252,4,8.7,272,60,0.001
10,1,8.2,0.046,0.177,3,6.9,222,60,0.054
10,8,9.2,0.001,0.077,5,10.8,140,60,0.061
10,16,9.3,0.023,0.18,4,7.8,678,60,0.038
11,1,7.8,0.361,0.208,3,6.9,196,60,0.131
11,16,8.2,0.182,0.077,2,7.8,678,60,0.028
12,4,7.7,0.617,0.252,1,6.5,114,60,0.091
12,5,7.6,0.132,0.116,3,5.9,478,60,0.017
3,18,8.3,0.05,0.181,2,8.8,973,40,0.092
6,2,9.3,0.05,0.181,2,8.3,973,40,0.092
