month,station,pH,ammonia,nitrate,inorganic_phosphate,BOD,fecal_coliforms,wqi,dissolved_oxygen
6,4,8.3,0.027,0.022,0.252,2,185,60,8.1
6,5,8.1,0.028,0.238,0.359,3,268,60,9.7
6,8,8.4,0.001,0.001,0.092,2,482,60,8.6
6,18,9,0.016,0.042,0.156,2,352,60,8.6
7,2,7.9,0.07,0.52,0.17,2,271,60,6.9
7,4,8.6,0.053,0.032,0.31,4,210,60,9
7,5,7.7,0.844,0.045,0.37,6,758,60,8.6
7,15,7.9,0.056,0.019,0.1,3,488,60,7.4
7,16,8.3,0.103,0.02,0.12,7,467,60,6
7,17,8.1,0.048,0.012,0.15,4,343,60,8.1
7,18,8.5,0.059,0.022,0.15,4,485,60,9.3
8,4,9.1,0.047,0.016,0.098,4,160,60,13.1
8,5,8.8,0.025,0.001,0.087,3,406,60,11
8,17,9.2,0.03,0.001,0.105,4,140,60,14.1
9,1,8.2,0.001,0.206,0.154,3,291,60,7.3
9,2,8.7,0.003,0.001,0.099,3,592,60,9.5
9,4,9.3,0.013,0.001,0.128,7,272,60,17.2
9,8,8.7,0.001,0.005,0.168,5,357,60,10.3
9,15,8.8,0.001,0.001,0.235,9,234,60,10.4
9,16,8.9,0.004,0.001,0.352,70,1460,60,10.9
9,17,8.3,0.001,0.001,0.252,4,272,60,8.7
10,1,8.2,0.054,0.046,0.177,3,222,60,6.9
10,8,9.2,0.061,0.001,0.077,5,140,60,10.8
10,16,9.3,0.038,0.023,0.18,4,678,60,7.8
11,1,7.8,0.131,0.361,0.208,3,196,60,6.9
11,16,8.2,0.028,0.182,0.077,2,678,60,7.8
12,4,7.7,0.091,0.617,0.252,1,114,60,6.5
12,5,7.6,0.017,0.132,0.116,3,478,60,5.9
3,18,8.3,0.092,0.05,0.181,2,973,40,8.8
6,2,9.3,0.092,0.05,0.181,2,973,40,8.3
